"x","y"
0,0
0,0.00106301
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
5.03125e-09,0.151457
5.0418e-09,0.220011
5.05604e-09,0.344675
5.07526e-09,0.574751
5.08174e-09,0.660796
5.0905e-09,0.791115
5.09346e-09,0.837004
5.09545e-09,0.868797
5.09815e-09,0.913142
5.10178e-09,0.975618
5.10669e-09,1.06479
5.11332e-09,1.19414
5.12226e-09,1.38564
5.1283e-09,1.52347
5.13646e-09,1.72469
5.14746e-09,2.02509
5.15489e-09,2.24334
5.16492e-09,2.56695
5.17846e-09,3.05417
5.19674e-09,3.81001
5.22141e-09,5.00688
5.23807e-09,5.90821
5.24369e-09,6.21522
5.25128e-09,6.27088
5.26152e-09,6.16522
5.27535e-09,6.02983
5.29402e-09,5.96861
5.31923e-09,5.92655
5.35326e-09,5.85286
5.39919e-09,5.74879
5.46121e-09,5.60845
5.54493e-09,5.42204
5.65796e-09,5.18072
5.81054e-09,4.88573
6e-09,4.58439
6.13904e-09,4.40623
6.32675e-09,4.2077
6.58015e-09,4.00049
6.75119e-09,3.89351
6.98211e-09,3.77687
7e-09,3.76948
7.31173e-09,3.65716
7.73257e-09,3.5625
8e-09,3.52818
8.56813e-09,3.4934
9e-09,3.49266
1e-08,3.53136
1.13978e-08,3.48976
1.32849e-08,3.47951
1.58324e-08,3.47444
1.92715e-08,3.47097
2e-08,3.47034
2.46429e-08,3.46821
2.96429e-08,3.46695
3e-08,3.46687
3.5e-08,3.46619
4e-08,3.46577
4.5e-08,3.46551
5e-08,3.46533
5.5e-08,3.46521
6e-08,3.46512
6.5e-08,3.46505
7e-08,3.465
7.5e-08,3.46496
8e-08,3.46493
8.5e-08,3.46491
9e-08,3.46489
9.5e-08,3.46487
1e-07,3.46486
1.05e-07,3.46485
1.1e-07,3.46484
1.11e-07,3.36136
1.115e-07,3.33979
1.12e-07,3.3514
1.12456e-07,3.40908
1.12728e-07,3.47925
1.13e-07,3.58569
1.13248e-07,3.72401
1.13415e-07,3.84664
1.13641e-07,4.04946
1.13794e-07,4.22114
1.13897e-07,4.35504
1.14e-07,4.50379
1.14188e-07,4.82212
1.14441e-07,5.36471
1.14612e-07,5.77144
1.14728e-07,6.03131
1.14805e-07,6.16087
1.14858e-07,6.20838
1.14929e-07,6.22247
1.15e-07,6.11574
1.15129e-07,6.10127
1.15304e-07,6.09584
1.1554e-07,6.08999
1.15699e-07,6.0862
1.15914e-07,6.08128
1.16059e-07,6.07805
1.16255e-07,6.07386
1.16519e-07,6.06846
1.16698e-07,6.06494
1.16939e-07,6.0604
1.17101e-07,6.05742
1.17321e-07,6.05355
1.17617e-07,6.0486
1.17817e-07,6.04537
1.18087e-07,6.04121
1.18452e-07,6.03592
1.18698e-07,6.03249
1.1903e-07,6.0281
1.19255e-07,6.02524
1.19557e-07,6.02155
1.19966e-07,6.01686
1.2e-07,6.01647

