"x","y"
0,0
0,0.00106304
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
5.03125e-09,0.193286
5.0418e-09,0.281371
5.04892e-09,0.351469
5.05853e-09,0.465565
5.0715e-09,0.656653
5.08026e-09,0.804297
5.08322e-09,0.856559
5.08721e-09,0.931079
5.09259e-09,1.039
5.09986e-09,1.19836
5.10968e-09,1.43937
5.11631e-09,1.61534
5.12078e-09,1.74045
5.12682e-09,1.92031
5.13497e-09,2.18408
5.14598e-09,2.58341
5.16084e-09,3.2002
5.18089e-09,4.18465
5.20797e-09,5.77791
5.21711e-09,6.24019
5.22945e-09,6.21472
5.2461e-09,5.99037
5.26859e-09,5.86627
5.29894e-09,5.79217
5.33992e-09,5.67677
5.39524e-09,5.51827
5.46993e-09,5.31139
5.57075e-09,5.049
5.70686e-09,4.74289
5.79874e-09,4.57186
5.92277e-09,4.37604
6e-09,4.27365
6.16744e-09,4.0847
6.39349e-09,3.89412
6.54607e-09,3.79968
6.75206e-09,3.7001
7e-09,3.61612
7.37541e-09,3.54172
7.88221e-09,3.50673
8e-09,3.50629
8.68418e-09,3.52861
9e-09,3.55001
9.92365e-09,3.62721
1e-08,3.63412
1.12469e-08,3.59494
1.29303e-08,3.58268
1.52028e-08,3.57567
1.82707e-08,3.57062
2e-08,3.56856
2.41417e-08,3.56578
2.91417e-08,3.56394
3e-08,3.56366
3.5e-08,3.56272
4e-08,3.56215
4.5e-08,3.56178
5e-08,3.56154
5.5e-08,3.56136
6e-08,3.56124
6.5e-08,3.56115
7e-08,3.56107
7.5e-08,3.56102
8e-08,3.56097
8.5e-08,3.56094
9e-08,3.56091
9.5e-08,3.56089
1e-07,3.56087
1.05e-07,3.56086
1.1e-07,3.56084
1.11e-07,3.41332
1.12e-07,3.31581
1.125e-07,3.30724
1.13e-07,3.36861
1.13228e-07,3.44355
1.13382e-07,3.51999
1.13589e-07,3.65964
1.13729e-07,3.78752
1.13918e-07,4.003
1.14e-07,4.12056
1.14128e-07,4.32495
1.143e-07,4.66433
1.14533e-07,5.27563
1.1469e-07,5.7562
1.14796e-07,6.06142
1.14867e-07,6.19661
1.14916e-07,6.22974
1.14981e-07,6.22017
1.15e-07,6.18044
1.15088e-07,6.1628
1.15207e-07,6.1567
1.15367e-07,6.15074
1.15584e-07,6.14325
1.15876e-07,6.13376
1.16074e-07,6.12763
1.16207e-07,6.12361
1.16387e-07,6.11839
1.16508e-07,6.11496
1.16672e-07,6.11048
1.16894e-07,6.1047
1.17043e-07,6.10092
1.17245e-07,6.09603
1.17381e-07,6.09281
1.17564e-07,6.08862
1.17813e-07,6.08324
1.1798e-07,6.07971
1.18206e-07,6.07516
1.18511e-07,6.06934
1.18717e-07,6.06556
1.18995e-07,6.0607
1.19183e-07,6.05753
1.19436e-07,6.05343
1.19778e-07,6.04819
1.2e-07,6.04493

