"x","y"
0,0
0,0.00106301
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
5.01562e-09,0.0653432
5.02617e-09,0.136799
5.04041e-09,0.284696
5.05002e-09,0.409724
5.063e-09,0.6257
5.06519e-09,0.66396
5.06814e-09,0.718285
5.07213e-09,0.7965
5.07482e-09,0.851674
5.07846e-09,0.930376
5.08337e-09,1.04446
5.09e-09,1.21314
5.09894e-09,1.46871
5.10498e-09,1.65559
5.10906e-09,1.78857
5.11456e-09,1.97996
5.12199e-09,2.2614
5.13202e-09,2.68849
5.14556e-09,3.34819
5.16384e-09,4.40207
5.18851e-09,6.06478
5.22182e-09,6.05377
5.26679e-09,5.68266
5.3275e-09,5.44937
5.40946e-09,5.16854
5.5201e-09,4.83178
5.66947e-09,4.47899
5.77029e-09,4.29873
5.90641e-09,4.10316
6e-09,3.9976
6.12403e-09,3.88151
6.29147e-09,3.7614
6.51752e-09,3.65079
6.82269e-09,3.56666
7e-09,3.54293
7.41197e-09,3.52508
7.96814e-09,3.55299
8e-09,3.55565
8.75082e-09,3.63199
9e-09,3.66071
1e-08,3.77686
1.13684e-08,3.73807
1.32157e-08,3.72396
1.57095e-08,3.71495
1.90762e-08,3.70834
2e-08,3.70682
2.4545e-08,3.70278
2.9545e-08,3.70034
3e-08,3.70013
3.5e-08,3.69881
4e-08,3.69801
4.5e-08,3.69749
5e-08,3.69715
5.5e-08,3.69691
6e-08,3.69674
6.5e-08,3.69661
7e-08,3.69651
7.5e-08,3.69643
8e-08,3.69637
8.5e-08,3.69633
9e-08,3.69629
9.5e-08,3.69626
1e-07,3.69623
1.05e-07,3.69621
1.1e-07,3.69619
1.11e-07,3.51969
1.12e-07,3.35772
1.125e-07,3.28998
1.13e-07,3.25864
1.13228e-07,3.27242
1.13535e-07,3.34587
1.13743e-07,3.45894
1.13871e-07,3.57034
1.14e-07,3.7188
1.14117e-07,3.89191
1.14275e-07,4.18492
1.14382e-07,4.44103
1.14526e-07,4.86573
1.14721e-07,5.60159
1.14852e-07,6.10341
1.14926e-07,6.23959
1.15e-07,6.08903
1.15135e-07,6.06815
1.15317e-07,6.06017
1.15563e-07,6.05159
1.15896e-07,6.04087
1.16344e-07,6.02771
1.1695e-07,6.01198
1.17767e-07,5.99383
1.18319e-07,5.9828
1.18691e-07,5.97586
1.18943e-07,5.97139
1.19282e-07,5.96572
1.19511e-07,5.96205
1.1982e-07,5.95735
1.2e-07,5.95471

