"x","y"
0,0
0,0.00103646
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.0677795
5.07344e-09,0.277185
5.08768e-09,0.363494
5.09729e-09,0.428866
5.11026e-09,0.530064
5.12778e-09,0.691272
5.1396e-09,0.812387
5.14758e-09,0.899949
5.15835e-09,1.02849
5.16563e-09,1.12043
5.17544e-09,1.25369
5.1887e-09,1.45078
5.19764e-09,1.59258
5.20368e-09,1.69243
5.21184e-09,1.83435
5.22284e-09,2.03931
5.2377e-09,2.3417
5.25776e-09,2.80109
5.28484e-09,3.51174
5.32139e-09,4.64781
5.37074e-09,6.18386
5.43736e-09,6.17012
5.5273e-09,6.08889
5.64872e-09,5.99113
5.81264e-09,5.83913
6e-09,5.65548
6.29874e-09,5.36994
6.70203e-09,5.01626
7e-09,4.7874
7.18375e-09,4.66152
7.43181e-09,4.50863
7.7667e-09,4.33128
8e-09,4.2255
8.61033e-09,3.99956
9e-09,3.88963
9.82394e-09,3.71525
1e-08,3.68852
1.11123e-08,3.66038
1.2614e-08,3.65805
1.46412e-08,3.65753
1.73779e-08,3.65719
2e-08,3.65697
2.49877e-08,3.65676
2.99877e-08,3.65664
3e-08,3.65664
3.5e-08,3.65657
4e-08,3.65653
4.5e-08,3.6565
5e-08,3.65649
5.5e-08,3.65647
6e-08,3.65646
6.5e-08,3.65646
7e-08,3.65645
7.5e-08,3.65645
8e-08,3.65645
8.5e-08,3.65644
9e-08,3.65644
9.5e-08,3.65644
1e-07,3.65644
1.05e-07,3.65644
1.1e-07,3.65644
1.105e-07,3.71627
1.1075e-07,3.76825
1.11e-07,3.83077
1.11228e-07,3.89595
1.11535e-07,3.99636
1.11743e-07,4.07417
1.12e-07,4.18168
1.12378e-07,4.36723
1.12634e-07,4.51557
1.12978e-07,4.7478
1.13e-07,4.76441
1.13233e-07,4.94572
1.13547e-07,5.21817
1.13971e-07,5.62494
1.14e-07,5.65378
1.14286e-07,5.93765
1.1448e-07,6.09966
1.1461e-07,6.17267
1.14698e-07,6.19759
1.14817e-07,6.20478
1.14977e-07,6.20312
1.15e-07,6.18371
1.15217e-07,6.17403
1.15509e-07,6.16912
1.15904e-07,6.16321
1.16437e-07,6.1558
1.17156e-07,6.14667
1.18128e-07,6.1356
1.18783e-07,6.12861
1.19669e-07,6.1199
1.2e-07,6.11674

