"x","y"
0,0
0,0.00103245
0,0.00103248
1e-10,0.00103248
2.35e-10,0.00103248
4.1725e-10,0.00103248
6.63288e-10,0.00103248
9.95438e-10,0.00103248
1.44384e-09,0.00103248
2.04919e-09,0.00103248
2.8664e-09,0.00103248
3.96964e-09,0.00103248
5e-09,0.00103248
5.03125e-09,0.233531
5.0418e-09,0.340502
5.04892e-09,0.425851
5.05372e-09,0.489642
5.06021e-09,0.586956
5.06897e-09,0.739406
5.07488e-09,0.852734
5.07887e-09,0.934133
5.08426e-09,1.05276
5.09153e-09,1.22943
5.10135e-09,1.49963
5.10797e-09,1.69825
5.11245e-09,1.83999
5.11848e-09,2.04467
5.12664e-09,2.3461
5.13764e-09,2.80375
5.14507e-09,3.14127
5.14511e-09,3.14305
5.14514e-09,3.14426
5.14515e-09,3.14508
5.14518e-09,3.14618
5.14521e-09,3.14767
5.14526e-09,3.14968
5.14531e-09,3.1524
5.14539e-09,3.15607
5.1455e-09,3.16103
5.14565e-09,3.16774
5.14585e-09,3.17681
5.14611e-09,3.18909
5.14647e-09,3.20572
5.14695e-09,3.22827
5.14761e-09,3.2589
5.14849e-09,3.30056
5.14968e-09,3.3574
5.15129e-09,3.43521
5.15347e-09,3.54224
5.1564e-09,3.69051
5.16036e-09,3.89811
5.1657e-09,4.19263
5.17292e-09,4.61389
5.18266e-09,5.22617
5.18924e-09,5.66517
5.19811e-09,6.24478
5.2101e-09,6.23159
5.22628e-09,5.93629
5.24812e-09,5.78339
5.2776e-09,5.70226
5.31741e-09,5.57087
5.37114e-09,5.39193
5.44369e-09,5.16275
5.54162e-09,4.88248
5.67384e-09,4.5703
5.85232e-09,4.25711
6e-09,4.06962
6.16265e-09,3.91185
6.38222e-09,3.75749
6.67864e-09,3.6262
7e-09,3.55103
7.54023e-09,3.51059
8e-09,3.52284
8.98457e-09,3.60114
9e-09,3.6026
1e-08,3.7041
1.17944e-08,3.6642
1.42168e-08,3.65141
1.7487e-08,3.64369
2e-08,3.63996
2.5e-08,3.63614
3e-08,3.63405
3.5e-08,3.63286
4e-08,3.63213
4.5e-08,3.63168
5e-08,3.63137
5.5e-08,3.63116
6e-08,3.63101
6.5e-08,3.6309
7e-08,3.63081
7.5e-08,3.63075
8e-08,3.63069
8.5e-08,3.63065
9e-08,3.63062
9.5e-08,3.63059
1e-07,3.63057
1.05e-07,3.63055
1.1e-07,3.63054
1.11e-07,3.47176
1.12e-07,3.33454
1.125e-07,3.28632
1.13e-07,3.28675
1.13228e-07,3.32252
1.13382e-07,3.36876
1.13589e-07,3.46743
1.13729e-07,3.56828
1.13918e-07,3.7535
1.14e-07,3.86118
1.14128e-07,4.05377
1.14214e-07,4.21037
1.1433e-07,4.4556
1.14487e-07,4.8777
1.14699e-07,5.60898
1.14843e-07,6.11393
1.14921e-07,6.25016
1.15e-07,6.10372
1.15144e-07,6.08461
1.15337e-07,6.07744
1.15599e-07,6.06968
1.15952e-07,6.06009
1.16428e-07,6.04844
1.17072e-07,6.0347
1.17941e-07,6.01901
1.19113e-07,6.00168
1.2e-07,5.99031

