"x","y"
0,0
0,0.00104418
0,0.00104422
1e-10,0.00104422
2.35e-10,0.00104422
4.1725e-10,0.00104422
6.63288e-10,0.00104422
9.95438e-10,0.00104422
1.44384e-09,0.00104422
2.04919e-09,0.00104422
2.8664e-09,0.00104422
3.96964e-09,0.00104422
5e-09,0.00104422
5.03125e-09,0.0816782
5.05234e-09,0.172325
5.06658e-09,0.250673
5.0858e-09,0.388542
5.09878e-09,0.497586
5.10754e-09,0.578818
5.11345e-09,0.637229
5.12143e-09,0.722451
5.1322e-09,0.84941
5.13947e-09,0.941028
5.14929e-09,1.07526
5.15592e-09,1.17116
5.16487e-09,1.30992
5.17694e-09,1.51462
5.1851e-09,1.66155
5.1906e-09,1.76479
5.19803e-09,1.91118
5.20806e-09,2.12191
5.2216e-09,2.43211
5.23987e-09,2.89921
5.26455e-09,3.61908
5.2812e-09,4.15189
5.30369e-09,4.9486
5.33404e-09,6.14201
5.37502e-09,6.18972
5.43034e-09,6.11187
5.50503e-09,6.046
5.60585e-09,5.94808
5.74196e-09,5.79932
5.92571e-09,5.59111
6e-09,5.50793
6.24806e-09,5.24192
6.58295e-09,4.91639
6.79147e-09,4.7397
7e-09,4.58332
7.38004e-09,4.34426
7.89309e-09,4.0977
8e-09,4.05692
8.34631e-09,3.93523
8.81383e-09,3.80536
9e-09,3.76412
9.63115e-09,3.65046
1e-08,3.60371
1.0852e-08,3.57223
1.20023e-08,3.56813
1.35552e-08,3.56709
1.56515e-08,3.56641
1.84816e-08,3.56586
2e-08,3.56564
2.38206e-08,3.5653
2.88206e-08,3.56506
3e-08,3.56501
3.5e-08,3.5649
4e-08,3.56483
4.5e-08,3.56478
5e-08,3.56475
5.5e-08,3.56473
6e-08,3.56471
6.5e-08,3.5647
7e-08,3.56469
7.5e-08,3.56468
8e-08,3.56468
8.5e-08,3.56467
9e-08,3.56467
9.5e-08,3.56467
1e-07,3.56466
1.05e-07,3.56466
1.1e-07,3.56466
1.105e-07,3.59924
1.1075e-07,3.63845
1.11e-07,3.68908
1.11228e-07,3.744
1.11535e-07,3.83126
1.11743e-07,3.90069
1.12e-07,3.99813
1.12189e-07,4.08002
1.12445e-07,4.20443
1.12617e-07,4.30013
1.1285e-07,4.44465
1.13e-07,4.55002
1.13314e-07,4.80113
1.13738e-07,5.2139
1.14e-07,5.5016
1.14286e-07,5.83279
1.1448e-07,6.03929
1.1461e-07,6.14312
1.14698e-07,6.18558
1.14817e-07,6.20345
1.14977e-07,6.19392
1.15e-07,6.16991
1.15217e-07,6.15874
1.15509e-07,6.15375
1.15904e-07,6.14783
1.16437e-07,6.14042
1.17156e-07,6.13132
1.18128e-07,6.1203
1.19439e-07,6.10715
1.2e-07,6.1018

