"x","y"
0,0
0,0.00104418
0,0.00104422
1e-10,0.00104422
2.35e-10,0.00104422
4.1725e-10,0.00104422
6.63288e-10,0.00104422
9.95438e-10,0.00104422
1.44384e-09,0.00104422
2.04919e-09,0.00104422
2.8664e-09,0.00104422
3.96964e-09,0.00104422
5e-09,0.00104422
5.01562e-09,0.0646375
5.03672e-09,0.260651
5.04384e-09,0.340826
5.05345e-09,0.474008
5.05994e-09,0.576182
5.06869e-09,0.736555
5.07461e-09,0.855955
5.08259e-09,1.03733
5.08797e-09,1.16996
5.09161e-09,1.2643
5.09652e-09,1.40011
5.10314e-09,1.59915
5.10762e-09,1.74136
5.11366e-09,1.94706
5.12181e-09,2.2509
5.13281e-09,2.71327
5.14767e-09,3.43247
5.16773e-09,4.58845
5.19481e-09,6.19881
5.21309e-09,6.14115
5.23776e-09,5.85272
5.27107e-09,5.71939
5.31604e-09,5.57727
5.37675e-09,5.38059
5.45871e-09,5.13038
5.56935e-09,4.83135
5.71872e-09,4.50854
5.92037e-09,4.1932
6e-09,4.10152
6.13611e-09,3.96609
6.31986e-09,3.82655
6.56793e-09,3.69801
6.90281e-09,3.59806
7e-09,3.58209
7.4521e-09,3.53994
8e-09,3.55059
8.82394e-09,3.62243
9e-09,3.64125
1e-08,3.75452
1.15016e-08,3.71811
1.35289e-08,3.70566
1.62656e-08,3.69743
1.99602e-08,3.6914
2e-08,3.69134
2.49877e-08,3.68719
2.99877e-08,3.68492
3e-08,3.68492
3.5e-08,3.68362
4e-08,3.68285
4.5e-08,3.68236
5e-08,3.68203
5.5e-08,3.68181
6e-08,3.68164
6.5e-08,3.68152
7e-08,3.68143
7.5e-08,3.68136
8e-08,3.6813
8.5e-08,3.68126
9e-08,3.68122
9.5e-08,3.6812
1e-07,3.68117
1.05e-07,3.68115
1.1e-07,3.68114
1.11e-07,3.51557
1.12e-07,3.37448
1.125e-07,3.32647
1.1275e-07,3.31895
1.13e-07,3.33224
1.13228e-07,3.37187
1.13535e-07,3.48655
1.13743e-07,3.62844
1.13871e-07,3.7542
1.14e-07,3.91028
1.14117e-07,4.08391
1.14275e-07,4.37205
1.14382e-07,4.6198
1.14526e-07,5.02533
1.14721e-07,5.68969
1.14852e-07,6.12891
1.14926e-07,6.23621
1.15e-07,6.08199
1.15135e-07,6.06361
1.15317e-07,6.05808
1.15563e-07,6.05242
1.15896e-07,6.04535
1.16344e-07,6.03662
1.1695e-07,6.02609
1.17767e-07,6.01373
1.18871e-07,5.99963
1.2e-07,5.98725

