"x","y"
0,0
0,0.00106301
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
5.0625e-09,0.0530609
5.14688e-09,0.217848
5.17535e-09,0.285777
5.21379e-09,0.399396
5.23974e-09,0.486911
5.27478e-09,0.624826
5.29842e-09,0.727806
5.31438e-09,0.801997
5.33593e-09,0.910446
5.35048e-09,0.98778
5.37011e-09,1.09939
5.39662e-09,1.26352
5.4324e-09,1.5106
5.45656e-09,1.69061
5.47286e-09,1.81836
5.48387e-09,1.9075
5.49873e-09,2.03283
5.51878e-09,2.21154
5.54586e-09,2.47193
5.58242e-09,2.85771
5.63177e-09,3.44087
5.69839e-09,4.34799
5.78833e-09,5.80531
5.81869e-09,6.20756
5.85966e-09,6.19624
5.91499e-09,6.18669
5.98967e-09,6.18719
6e-09,6.18729
6.10082e-09,6.18725
6.23694e-09,6.18655
6.42069e-09,6.1838
6.66875e-09,6.17508
7e-09,6.15209
7.4521e-09,6.10056
8e-09,6.01483
8.82394e-09,5.85807
9e-09,5.82207
1e-08,5.61412
1.15016e-08,5.61336
1.35289e-08,5.61366
1.62656e-08,5.6139
1.99602e-08,5.61407
2e-08,5.61407
2.49877e-08,5.61419
2.99877e-08,5.61426
3e-08,5.61426
3.5e-08,5.61429
4e-08,5.61431
4.5e-08,5.61433
5e-08,5.61434
5.5e-08,5.61434
6e-08,5.61435
6.5e-08,5.61435
7e-08,5.61435
7.5e-08,5.61435
8e-08,5.61435
8.5e-08,5.61435
9e-08,5.61436
9.5e-08,5.61436
1e-07,5.61436
1.05e-07,5.61436
1.1e-07,5.61436
1.11e-07,5.82293
1.12e-07,6.01705
1.125e-07,6.09671
1.1275e-07,6.12924
1.13e-07,6.15565
1.13228e-07,6.17351
1.13535e-07,6.18787
1.13951e-07,6.19332
1.14e-07,6.19336
1.14561e-07,6.1954
1.1478e-07,6.20396
1.15e-07,6.16554
1.154e-07,6.16003
1.15941e-07,6.15454
1.16671e-07,6.14762
1.17656e-07,6.13894
1.18322e-07,6.13335
1.19219e-07,6.12622
1.2e-07,6.12029

