"x","y"
0,0
0,0.00103245
0,0.00103248
1e-10,0.00103248
2.35e-10,0.00103248
4.1725e-10,0.00103248
6.63288e-10,0.00103248
9.95438e-10,0.00103248
1.44384e-09,0.00103248
2.04919e-09,0.00103248
2.8664e-09,0.00103248
3.96964e-09,0.00103248
5e-09,0.00103248
5.125e-09,0.206359
5.16719e-09,0.301765
5.19566e-09,0.378308
5.23411e-09,0.50412
5.28601e-09,0.717401
5.32104e-09,0.883501
5.34468e-09,1.00617
5.36064e-09,1.09396
5.38219e-09,1.22125
5.39674e-09,1.31158
5.41637e-09,1.44118
5.44288e-09,1.63042
5.46077e-09,1.76542
5.47285e-09,1.85994
5.48916e-09,1.99331
5.51117e-09,2.18408
5.54088e-09,2.46198
5.581e-09,2.87872
5.60808e-09,3.18208
5.64463e-09,3.62408
5.69398e-09,4.28714
5.72729e-09,4.76794
5.77226e-09,5.48025
5.78744e-09,5.73723
5.80793e-09,6.10149
5.82176e-09,6.2493
5.84043e-09,6.21995
5.86564e-09,6.2009
5.89966e-09,6.20247
5.9456e-09,6.2034
6e-09,6.20323
6.08372e-09,6.20278
6.19675e-09,6.20181
6.34933e-09,6.19942
6.55531e-09,6.19329
6.8334e-09,6.17793
7e-09,6.16439
7.37541e-09,6.12323
7.88221e-09,6.04849
8e-09,6.02853
8.68418e-09,5.90207
9e-09,5.83919
9.92365e-09,5.65078
1e-08,5.63509
1.12469e-08,5.63453
1.29303e-08,5.63482
1.52028e-08,5.63506
1.82707e-08,5.63526
2e-08,5.63534
2.41417e-08,5.63544
2.91417e-08,5.63551
3e-08,5.63552
3.5e-08,5.63555
4e-08,5.63557
4.5e-08,5.63559
5e-08,5.63559
5.5e-08,5.6356
6e-08,5.6356
6.5e-08,5.63561
7e-08,5.63561
7.5e-08,5.63561
8e-08,5.63561
8.5e-08,5.63561
9e-08,5.63562
9.5e-08,5.63562
1e-07,5.63562
1.05e-07,5.63562
1.1e-07,5.63562
1.11e-07,5.84031
1.12e-07,6.03116
1.125e-07,6.10964
1.13e-07,6.16826
1.13228e-07,6.18632
1.13535e-07,6.20161
1.13743e-07,6.20668
1.14e-07,6.20922
1.14378e-07,6.21124
1.14889e-07,6.2371
1.15e-07,6.21473
1.1569e-07,6.20362
1.1662e-07,6.19175
1.17877e-07,6.17741
1.19574e-07,6.16025
1.2e-07,6.15605

