"x","y"
0,0
0,0.00103647
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.231766
5.0418e-09,0.337917
5.04892e-09,0.422603
5.05853e-09,0.560884
5.06501e-09,0.666008
5.07377e-09,0.829363
5.07968e-09,0.950281
5.08367e-09,1.03694
5.08906e-09,1.16293
5.0927e-09,1.25245
5.09761e-09,1.38118
5.10423e-09,1.56973
5.10871e-09,1.7045
5.11474e-09,1.89961
5.11882e-09,2.03807
5.12432e-09,2.23681
5.13175e-09,2.52803
5.14178e-09,2.96463
5.15532e-09,3.62994
5.1736e-09,4.67912
5.19827e-09,6.18292
5.21493e-09,6.17016
5.23741e-09,5.87479
5.26777e-09,5.74026
5.30875e-09,5.61663
5.36407e-09,5.44001
5.43875e-09,5.21258
5.53958e-09,4.93352
5.67569e-09,4.61865
5.85944e-09,4.29723
6e-09,4.11647
6.33489e-09,3.82051
6.56093e-09,3.7048
6.8661e-09,3.60616
7e-09,3.58073
7.41197e-09,3.53593
7.96814e-09,3.53574
8e-09,3.53715
8.75082e-09,3.59075
9e-09,3.61448
1e-08,3.71918
1.13684e-08,3.68238
1.32157e-08,3.6701
1.57095e-08,3.66225
1.90762e-08,3.65642
2e-08,3.65508
2.4545e-08,3.65153
2.9545e-08,3.64939
3e-08,3.64921
3.5e-08,3.64806
4e-08,3.64736
4.5e-08,3.64691
5e-08,3.64662
5.5e-08,3.64641
6e-08,3.64626
6.5e-08,3.64615
7e-08,3.64606
7.5e-08,3.646
8e-08,3.64595
8.5e-08,3.6459
9e-08,3.64587
9.5e-08,3.64584
1e-07,3.64582
1.05e-07,3.6458
1.1e-07,3.64579
1.11e-07,3.48544
1.12e-07,3.35381
1.125e-07,3.31341
1.13e-07,3.32812
1.13228e-07,3.37278
1.13535e-07,3.49474
1.13743e-07,3.64222
1.13871e-07,3.77109
1.14e-07,3.92966
1.14117e-07,4.1056
1.14275e-07,4.39808
1.14382e-07,4.64849
1.14526e-07,5.0533
1.14721e-07,5.70669
1.14852e-07,6.13582
1.14926e-07,6.23791
1.15e-07,6.09308
1.15135e-07,6.07509
1.15317e-07,6.0693
1.15563e-07,6.06325
1.15896e-07,6.05566
1.16344e-07,6.04625
1.1695e-07,6.03486
1.17358e-07,6.02772
1.1791e-07,6.01895
1.18655e-07,6.00845
1.19158e-07,6.00191
1.19837e-07,5.99392
1.2e-07,5.99204

