"x","y"
0,0
0,0.00103649
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.21763
5.0418e-09,0.317151
5.04892e-09,0.396489
5.05853e-09,0.525938
5.06501e-09,0.624285
5.07377e-09,0.777014
5.07968e-09,0.889989
5.08766e-09,1.06037
5.09305e-09,1.18439
5.09669e-09,1.27237
5.1016e-09,1.39861
5.10822e-09,1.583
5.1127e-09,1.71455
5.11874e-09,1.9046
5.12281e-09,2.03927
5.12831e-09,2.2322
5.13574e-09,2.51422
5.14577e-09,2.93598
5.15931e-09,3.5765
5.17759e-09,4.58335
5.20226e-09,6.13129
5.23557e-09,6.07495
5.28054e-09,5.76446
5.34125e-09,5.56906
5.42321e-09,5.32666
5.53385e-09,5.02258
5.68322e-09,4.67516
5.88487e-09,4.32094
6e-09,4.16998
6.27222e-09,3.89926
6.45597e-09,3.77743
6.70404e-09,3.65841
7e-09,3.56886
7.4521e-09,3.50092
8e-09,3.48291
8.82394e-09,3.51773
9e-09,3.5301
1e-08,3.61192
1.15016e-08,3.5763
1.35289e-08,3.56704
1.62656e-08,3.56229
1.99602e-08,3.55929
2e-08,3.55926
2.49877e-08,3.5574
2.99877e-08,3.55646
3e-08,3.55645
3.5e-08,3.55594
4e-08,3.55564
4.5e-08,3.55546
5e-08,3.55533
5.5e-08,3.55524
6e-08,3.55518
6.5e-08,3.55513
7e-08,3.55509
7.5e-08,3.55506
8e-08,3.55504
8.5e-08,3.55502
9e-08,3.55501
9.5e-08,3.555
1e-07,3.55499
1.05e-07,3.55498
1.1e-07,3.55497
1.11e-07,3.41781
1.12e-07,3.31528
1.125e-07,3.29502
1.1275e-07,3.30502
1.13e-07,3.33792
1.13228e-07,3.39705
1.13535e-07,3.53974
1.13743e-07,3.70154
1.13871e-07,3.83836
1.14e-07,4.00368
1.14117e-07,4.18489
1.14275e-07,4.48313
1.14489e-07,5.01837
1.14633e-07,5.46456
1.14827e-07,6.08154
1.14914e-07,6.20977
1.15e-07,6.05692
1.15157e-07,6.0414
1.1537e-07,6.03786
1.15657e-07,6.03446
1.16044e-07,6.03019
1.16567e-07,6.02487
1.17273e-07,6.01836
1.18226e-07,6.01058
1.18869e-07,6.00572
1.19737e-07,5.99975
1.2e-07,5.99799

