"x","y"
0,0
0,0.00103649
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.149016
5.05234e-09,0.317638
5.06658e-09,0.465119
5.07619e-09,0.580978
5.08917e-09,0.767372
5.09793e-09,0.908213
5.10384e-09,1.01042
5.11182e-09,1.16118
5.1172e-09,1.26937
5.12084e-09,1.34542
5.12575e-09,1.45331
5.13238e-09,1.6087
5.13685e-09,1.71852
5.14289e-09,1.87535
5.15104e-09,2.10328
5.16205e-09,2.44244
5.1769e-09,2.96217
5.19696e-09,3.77368
5.22404e-09,5.08457
5.2606e-09,6.20071
5.30995e-09,6.01902
5.37657e-09,5.82511
5.46651e-09,5.63225
5.58793e-09,5.37911
5.75184e-09,5.0624
5.97313e-09,4.69831
6e-09,4.66132
6.29874e-09,4.30035
6.70203e-09,3.97411
7e-09,3.81484
7.3675e-09,3.67735
7.86363e-09,3.56526
8e-09,3.54692
8.66977e-09,3.49082
9e-09,3.48356
9.90419e-09,3.49717
1e-08,3.50089
1.12207e-08,3.46225
1.28685e-08,3.45355
1.50932e-08,3.44971
1.80965e-08,3.4472
2e-08,3.44612
2.40544e-08,3.44487
2.90544e-08,3.44407
3e-08,3.44393
3.5e-08,3.44354
4e-08,3.44331
4.5e-08,3.44316
5e-08,3.44306
5.5e-08,3.44299
6e-08,3.44293
6.5e-08,3.4429
7e-08,3.44287
7.5e-08,3.44284
8e-08,3.44282
8.5e-08,3.44281
9e-08,3.44279
9.5e-08,3.44279
1e-07,3.44278
1.05e-07,3.44277
1.1e-07,3.44277
1.11e-07,3.36197
1.115e-07,3.35671
1.12e-07,3.38928
1.12228e-07,3.42286
1.12535e-07,3.49149
1.12743e-07,3.55892
1.13e-07,3.66946
1.13189e-07,3.77687
1.13317e-07,3.86441
1.13489e-07,4.00086
1.13606e-07,4.10994
1.13763e-07,4.27821
1.13975e-07,4.55601
1.14e-07,4.5963
1.14286e-07,5.09617
1.1448e-07,5.50316
1.1461e-07,5.79479
1.14786e-07,6.13787
1.14893e-07,6.21218
1.15e-07,6.07185
1.15195e-07,6.05915
1.15458e-07,6.05509
1.15813e-07,6.0506
1.16293e-07,6.045
1.16941e-07,6.03814
1.17815e-07,6.02989
1.18405e-07,6.02473
1.19202e-07,6.01837
1.2e-07,6.01252

