"x","y"
0,0
0,0.00103649
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.121707
5.05234e-09,0.258509
5.06658e-09,0.37761
5.07619e-09,0.470874
5.08268e-09,0.539925
5.09144e-09,0.644151
5.10326e-09,0.80564
5.11124e-09,0.925025
5.12202e-09,1.10492
5.12929e-09,1.23587
5.13911e-09,1.42955
5.14573e-09,1.56885
5.15021e-09,1.66691
5.15624e-09,1.80628
5.1644e-09,2.00752
5.1699e-09,2.15016
5.17733e-09,2.35456
5.18736e-09,2.65365
5.2009e-09,3.09845
5.21917e-09,3.77405
5.24385e-09,4.83185
5.2605e-09,5.62486
5.27175e-09,6.1933
5.28692e-09,6.22653
5.30741e-09,6.10551
5.33507e-09,6.02625
5.37242e-09,5.9703
5.42283e-09,5.88725
5.49088e-09,5.76831
5.58276e-09,5.60625
5.70679e-09,5.39344
5.87423e-09,5.12331
6e-09,4.93732
6.15258e-09,4.73478
6.35857e-09,4.50066
6.63665e-09,4.2483
7e-09,4.00282
7.5068e-09,3.77061
8e-09,3.62916
8.92365e-09,3.4932
9e-09,3.48831
1e-08,3.45142
1.16834e-08,3.41077
1.39559e-08,3.40464
1.70238e-08,3.40258
2e-08,3.40162
2.5e-08,3.40087
3e-08,3.40049
3.5e-08,3.40028
4e-08,3.40016
4.5e-08,3.40009
5e-08,3.40004
5.5e-08,3.4
6e-08,3.39997
6.5e-08,3.39995
7e-08,3.39994
7.5e-08,3.39993
8e-08,3.39992
8.5e-08,3.39991
9e-08,3.3999
9.5e-08,3.3999
1e-07,3.39989
1.05e-07,3.39989
1.1e-07,3.39989
1.105e-07,3.3661
1.11e-07,3.37328
1.11456e-07,3.40987
1.12e-07,3.50098
1.12415e-07,3.62165
1.12695e-07,3.73814
1.12848e-07,3.81669
1.13e-07,3.90539
1.13139e-07,3.99693
1.13326e-07,4.13827
1.13453e-07,4.24929
1.13623e-07,4.41878
1.13854e-07,4.69317
1.14e-07,4.89968
1.14311e-07,5.40624
1.14521e-07,5.78641
1.14663e-07,6.02917
1.14759e-07,6.14866
1.14823e-07,6.19135
1.1491e-07,6.20224
1.15e-07,6.0945
1.15159e-07,6.08406
1.15373e-07,6.08128
1.15663e-07,6.07841
1.16054e-07,6.07474
1.16582e-07,6.07008
1.17294e-07,6.06424
1.18256e-07,6.05701
1.19555e-07,6.04821
1.2e-07,6.04529

