"x","y"
0,0
0,3.83201e-05
0,3.8344e-05
1e-10,3.8344e-05
2.35e-10,3.8344e-05
4.1725e-10,3.8344e-05
6.63288e-10,3.8344e-05
9.95438e-10,3.8344e-05
1.44384e-09,3.8344e-05
2.04919e-09,3.8344e-05
2.8664e-09,3.8344e-05
3.96964e-09,3.8344e-05
5e-09,3.8344e-05
5.25e-09,6.30441
5.29219e-09,6.42437
5.34914e-09,6.24505
5.42603e-09,6.02846
5.52982e-09,5.72599
5.66995e-09,5.34727
5.85912e-09,4.9398
6e-09,4.70665
6.17238e-09,4.47793
6.4051e-09,4.24079
6.71926e-09,4.01014
7e-09,3.86491
7.57257e-09,3.67265
8e-09,3.59249
9e-09,3.50509
1e-08,3.5057
1.19018e-08,3.45274
1.44692e-08,3.44143
1.79352e-08,3.43556
2.26143e-08,3.4315
2.76143e-08,3.42912
3.26143e-08,3.42773
3.76143e-08,3.4269
4.26143e-08,3.42638
4.33333e-08,3.42631
4.83333e-08,3.42599
5.33333e-08,3.42577
5.83333e-08,3.42562
6.33333e-08,3.42551
6.83333e-08,3.42542
7.33333e-08,3.42535
7.66667e-08,3.42532
8.16667e-08,3.42527
8.66667e-08,3.42524
9.16667e-08,3.42521
9.66667e-08,3.42519
1.01667e-07,3.42517
1.06667e-07,3.42516
1.1e-07,3.42515
1.11e-07,3.34678
1.115e-07,3.34742
1.12e-07,3.38771
1.12456e-07,3.47154
1.12728e-07,3.55337
1.13e-07,3.66464
1.13248e-07,3.80078
1.13415e-07,3.91879
1.13641e-07,4.11559
1.13794e-07,4.28507
1.14e-07,4.56971
1.14e-07,4.56972
1.14139e-07,4.81768
1.14327e-07,5.24667
1.14453e-07,5.61818
1.14624e-07,6.1623
1.1474e-07,6.42552
1.14818e-07,6.50544
1.14923e-07,6.51478
1.15e-07,6.38684
1.15192e-07,6.37195
1.15451e-07,6.36746
1.158e-07,6.3624
1.16272e-07,6.35605
1.16908e-07,6.34821
1.17768e-07,6.33873
1.18929e-07,6.32752
1.2e-07,6.31825

