"x","y"
0,0
0,0.00240609
0,0.00240641
1e-10,0.00240641
2.35e-10,0.00240641
4.1725e-10,0.00240641
6.63288e-10,0.00240641
9.95438e-10,0.00240641
1.44384e-09,0.00240641
2.04919e-09,0.00240641
2.8664e-09,0.00240641
3.96964e-09,0.00240641
5e-09,0.00240641
5.03125e-09,0.165453
5.05234e-09,0.351771
5.06658e-09,0.515006
5.07619e-09,0.643358
5.08268e-09,0.738666
5.09144e-09,0.882976
5.10326e-09,1.10753
5.11124e-09,1.27426
5.11663e-09,1.39407
5.1239e-09,1.56866
5.12881e-09,1.69318
5.13212e-09,1.78049
5.1366e-09,1.90398
5.14264e-09,2.08093
5.14671e-09,2.20536
5.15221e-09,2.38168
5.15964e-09,2.63563
5.16967e-09,3.00834
5.18321e-09,3.5641
5.20149e-09,4.41374
5.22616e-09,5.77889
5.25947e-09,6.24516
5.30444e-09,6.20897
5.36515e-09,6.09693
5.44711e-09,5.92178
5.55776e-09,5.64379
5.70712e-09,5.27239
5.90877e-09,4.86308
6e-09,4.71702
6.13611e-09,4.52837
6.31986e-09,4.32321
6.56793e-09,4.11415
6.90281e-09,3.91945
7e-09,3.87989
7.4521e-09,3.74048
8e-09,3.66084
8.82394e-09,3.63364
9e-09,3.63712
1e-08,3.68206
1.15016e-08,3.63919
1.35289e-08,3.62861
1.62656e-08,3.62296
1.99602e-08,3.61899
2e-08,3.61895
2.49877e-08,3.61621
2.99877e-08,3.61471
3e-08,3.61471
3.5e-08,3.61385
4e-08,3.61333
4.5e-08,3.613
5e-08,3.61278
5.5e-08,3.61262
6e-08,3.61252
6.5e-08,3.61243
7e-08,3.61237
7.5e-08,3.61232
8e-08,3.61229
8.5e-08,3.61226
9e-08,3.61223
9.5e-08,3.61221
1e-07,3.6122
1.05e-07,3.61218
1.1e-07,3.61217
1.11e-07,3.49964
1.115e-07,3.47046
1.12e-07,3.4728
1.12456e-07,3.51917
1.12728e-07,3.58006
1.13e-07,3.6757
1.13248e-07,3.80456
1.13415e-07,3.92277
1.13528e-07,4.01984
1.13681e-07,4.17185
1.13784e-07,4.29412
1.13923e-07,4.48383
1.14e-07,4.60725
1.14094e-07,4.77415
1.14221e-07,5.03669
1.14392e-07,5.47204
1.14622e-07,6.08367
1.147e-07,6.21105
1.14806e-07,6.27746
1.14948e-07,6.24785
1.15e-07,6.14958
1.15192e-07,6.13488
1.15451e-07,6.13153
1.158e-07,6.12798
1.16272e-07,6.12368
1.16908e-07,6.11862
1.17768e-07,6.11291
1.18929e-07,6.10676
1.2e-07,6.10212

