"x","y"
0,0
0,1.3525e-07
0,1.35282e-07
1e-10,1.35282e-07
2.35e-10,1.35282e-07
4.1725e-10,1.35282e-07
6.63288e-10,1.35282e-07
9.95438e-10,1.35282e-07
1.44384e-09,1.35282e-07
2.04919e-09,1.35282e-07
2.8664e-09,1.35282e-07
3.96964e-09,1.35282e-07
5e-09,1.35282e-07
5.0625e-09,1.04157
5.14688e-09,5.18756
5.20383e-09,6.43507
5.28071e-09,5.46452
5.38451e-09,4.91894
5.52464e-09,4.49689
5.71381e-09,4.13503
5.96919e-09,3.83625
6e-09,3.81129
6.34476e-09,3.58768
6.81019e-09,3.42248
7e-09,3.38505
7.62833e-09,3.31085
8e-09,3.3034
8.84825e-09,3.33585
9e-09,3.34608
1e-08,3.42851
1.15459e-08,3.3773
1.36329e-08,3.36017
1.64504e-08,3.348
2.02539e-08,3.338
2.52539e-08,3.33031
3.02539e-08,3.32562
3.52539e-08,3.32267
4.02539e-08,3.32076
4.33333e-08,3.31987
4.83333e-08,3.31889
5.33333e-08,3.3182
5.83333e-08,3.31771
6.33333e-08,3.31735
6.83333e-08,3.31708
7.33333e-08,3.31687
7.66667e-08,3.31675
8.16667e-08,3.31662
8.66667e-08,3.31651
9.16667e-08,3.31642
9.66667e-08,3.31635
1.01667e-07,3.3163
1.06667e-07,3.31625
1.1e-07,3.31622
1.11e-07,3.15296
1.12e-07,3.03027
1.13e-07,2.99361
1.135e-07,3.07652
1.1375e-07,3.17941
1.14e-07,3.34522
1.14228e-07,3.5868
1.14382e-07,3.83986
1.14485e-07,4.07875
1.14626e-07,4.52969
1.14815e-07,5.70009
1.14907e-07,6.66774
1.15e-07,6.43673
1.15169e-07,6.3439
1.15397e-07,6.25785
1.15705e-07,6.16193
1.1612e-07,6.05516
1.16681e-07,5.93817
1.17438e-07,5.81203
1.18461e-07,5.67827
1.19841e-07,5.5389
1.2e-07,5.52345

