"x","y"
0,0
0,1.3525e-07
0,1.35282e-07
1e-10,1.35282e-07
2.35e-10,1.35282e-07
4.1725e-10,1.35282e-07
6.63288e-10,1.35282e-07
9.95438e-10,1.35282e-07
1.44384e-09,1.35282e-07
2.04919e-09,1.35282e-07
2.8664e-09,1.35282e-07
3.96964e-09,1.35282e-07
5e-09,1.35282e-07
5.25e-09,6.42642
5.29219e-09,6.74039
5.34914e-09,6.32377
5.42603e-09,6.0164
5.52982e-09,5.69246
5.66995e-09,5.32103
5.85912e-09,4.93707
6e-09,4.71746
6.34476e-09,4.32346
6.81019e-09,3.98538
7e-09,3.88828
7.62833e-09,3.64732
8e-09,3.55246
8.84825e-09,3.39891
9e-09,3.38114
1e-08,3.28623
1.15459e-08,3.22646
1.36329e-08,3.21634
1.64504e-08,3.21228
2.02539e-08,3.20932
2.52539e-08,3.20706
3.02539e-08,3.20569
3.52539e-08,3.20483
4.02539e-08,3.20428
4.33333e-08,3.20402
4.83333e-08,3.20374
5.33333e-08,3.20354
5.83333e-08,3.2034
6.33333e-08,3.20329
6.83333e-08,3.20322
7.33333e-08,3.20316
7.66667e-08,3.20312
8.16667e-08,3.20308
8.66667e-08,3.20305
9.16667e-08,3.20303
9.66667e-08,3.20301
1.01667e-07,3.20299
1.06667e-07,3.20298
1.1e-07,3.20297
1.11e-07,3.21759
1.115e-07,3.27635
1.12e-07,3.37047
1.12456e-07,3.49251
1.13e-07,3.70372
1.13208e-07,3.81804
1.13488e-07,4.00703
1.13677e-07,4.17051
1.13932e-07,4.45374
1.14e-07,4.54854
1.14345e-07,5.19904
1.14577e-07,5.93755
1.14735e-07,6.55227
1.14841e-07,6.83998
1.14984e-07,6.84888
1.15e-07,6.81822
1.15193e-07,6.67819
1.15454e-07,6.54866
1.15806e-07,6.417
1.16282e-07,6.28037
1.16924e-07,6.13763
1.1779e-07,5.98841
1.1896e-07,5.83285
1.2e-07,5.71853

